@    title "Electric Field (Cutoff: 7.0 Å)"
@    xaxis  label "Frame"
@    yaxis  label "MV/cm"
#frame    Magnitude          Efield_X            Efield_Y            Efield_Z
@type xy
0        16.289746          5.250901           -14.757264         4.472920          
1        10.800083          3.785799           -9.611534          3.150864          
2        22.536646          8.629522           -19.242242         7.947822          
3        19.921408          8.108823           -16.582152         7.492778          
4        16.521653          5.393695           -13.764655         7.376133          
5        15.023732          14.055446          0.456907           5.286605          
6        6.005985           5.623170           0.995174           -1.860494         
7        13.867688          6.207311           -5.993709          10.856220         
8        14.374169          4.002050           -4.847892          12.926650         
9        10.729034          8.159620           -6.705271          1.890004          
10       11.740227          11.635905          -1.313110          -0.845211         
11       14.025422          10.070693          -9.742704          -0.611006         
12       5.636978           2.723427           4.851699           -0.905253         
13       5.580100           2.368626           4.500878           -2.295479         
14       6.707000           5.752726           -0.510338          3.410213          
15       10.368660          10.049794          2.551563           0.016396          
16       8.834374           8.209855           -2.558145          2.024931          
17       13.131727          8.596825           -7.709613          -6.252899         
18       12.423511          11.111556          -1.661325          5.302541          
19       13.755002          2.929615           -7.640226          11.056419         
20       14.868855          11.086430          -8.936657          4.279025          
21       13.287024          12.641698          -4.060169          0.497509          
22       18.561756          11.845344          -13.329501         5.152770          
23       15.499102          4.650345           -10.439508         10.469628         
24       12.505845          9.474841           5.256027           6.244816          
25       13.912519          4.901057           -11.418778         6.256944          
26       5.656019           4.463119           -2.941488          -1.848992         
27       13.246746          2.557362           -11.054287         6.836586          
28       17.353085          2.906296           -15.347060         7.559811          
29       14.906392          3.269478           1.048510           14.505574         
30       13.029322          10.000751          -4.905212          6.759223          
31       8.427514           0.197983           1.966757           -8.192414         
32       6.482888           4.361737           -4.261119          2.201354          
33       4.689812           1.631897           -3.501071          -2.659653         
34       14.118588          11.380136          -7.780527          -3.048022         
35       11.202644          5.793675           -9.576699          0.468400          
36       9.038005           6.851728           0.973232           -5.813104         
37       3.237192           0.546272           -0.136249          -3.187858         
38       5.009941           3.146791           2.775597           -2.737386         
39       1.092609           -0.614917          -0.565115          -0.704498         
40       3.796931           2.366542           -2.659727          -1.319854         
41       9.740181           6.829917           -6.589945          2.189972          
42       2.447371           2.357071           -0.658391          0.018930          
43       8.252701           4.759371           -6.707329          0.683515          
44       2.012371           1.397893           1.331082           0.568991          
45       7.953657           5.088788           -6.103420          -0.336389         
46       5.030415           4.261438           2.262696           -1.423176         
47       11.835979          7.736424           -6.477313          6.187290          
48       9.273164           6.937908           1.638239           5.930698          
49       12.613516          5.332588           -11.278947         1.857323          
#---#
#AVG:     10.747106          6.016506           -4.815207          2.556743          
#STDEV:   4.851689           3.516161           6.009103           4.964369          
