#frame    X(Å)    Y(Å)    Z(Å)
0          50.700   51.570  111.770
1          51.060   51.730  111.600
2          51.000   51.690  111.690
3          50.990   51.720  111.900
4          50.850   51.810  111.560
5          50.920   51.900  111.990
6          51.110   51.780  111.620
7          50.990   52.060  111.410
8          51.300   51.790  111.650
9          51.000   51.940  111.400
10         50.800   51.720  111.560
11         50.610   51.570  111.450
12         50.750   51.550  111.880
13         50.800   52.050  111.740
14         50.920   51.890  111.590
15         51.000   51.720  111.050
16         50.820   52.010  111.570
17         50.600   51.950  111.360
18         51.060   52.110  111.710
19         50.900   51.880  111.530
20         50.580   52.300  111.520
21         50.640   52.140  111.420
22         50.630   52.100  111.560
23         50.910   52.270  111.570
24         50.840   51.900  111.610
25         51.200   51.870  111.270
26         51.300   52.040  111.620
27         50.940   51.860  111.370
28         50.820   52.040  111.260
29         50.660   51.940  111.610
30         50.550   52.060  111.470
31         50.690   52.260  111.510
32         50.620   52.020  111.700
33         50.930   51.870  111.730
34         50.740   52.360  111.800
35         50.950   52.170  111.510
36         50.880   52.140  111.730
37         50.900   52.020  111.390
38         50.950   52.240  111.460
39         51.090   52.370  111.120
40         51.010   52.260  111.580
41         50.750   52.420  111.620
42         50.740   52.250  111.440
43         50.520   52.270  111.540
44         50.520   52.220  111.350
45         50.460   51.990  111.240
46         50.680   52.160  111.750
47         50.850   52.200  111.470
48         51.010   52.140  111.370
49         50.800   51.750  111.250
