# Frame  Total_Res  Wrapped_Res  Total_Atoms  Wrapped_Atoms  Water_Res  Wrapped_Water  Ion_Res  Wrapped_Ions  Other_Res  Wrapped_Other
     0         42            0          126             0         42             0        0            0          0             0
     1         39            0          117             0         39             0        0            0          0             0
     2         36            0          108             0         36             0        0            0          0             0
     3         39            0          115             0         38             0        1            0          0             0
     4         39            0          117             0         39             0        0            0          0             0
     5         42            0          126             0         42             0        0            0          0             0
     6         42            0          124             0         41             0        1            0          0             0
     7         34            0          102             0         34             0        0            0          0             0
     8         40            0          120             0         40             0        0            0          0             0
     9         38            0          114             0         38             0        0            0          0             0
    10         40            0          120             0         40             0        0            0          0             0
    11         40            0          120             0         40             0        0            0          0             0
    12         38            0          114             0         38             0        0            0          0             0
    13         36            0          106             0         35             0        1            0          0             0
    14         39            0          117             0         39             0        0            0          0             0
    15         36            0          108             0         36             0        0            0          0             0
    16         36            0          108             0         36             0        0            0          0             0
    17         36            0          108             0         36             0        0            0          0             0
    18         37            0          111             0         37             0        0            0          0             0
    19         40            0          120             0         40             0        0            0          0             0
    20         38            0          114             0         38             0        0            0          0             0
    21         39            0          117             0         39             0        0            0          0             0
    22         37            0          111             0         37             0        0            0          0             0
    23         39            0          117             0         39             0        0            0          0             0
    24         35            0          105             0         35             0        0            0          0             0
    25         34            0          102             0         34             0        0            0          0             0
    26         34            0          102             0         34             0        0            0          0             0
    27         36            0          108             0         36             0        0            0          0             0
    28         42            0          126             0         42             0        0            0          0             0
    29         34            0          102             0         34             0        0            0          0             0
    30         35            0          105             0         35             0        0            0          0             0
    31         37            0          111             0         37             0        0            0          0             0
    32         34            0          102             0         34             0        0            0          0             0
    33         38            0          114             0         38             0        0            0          0             0
    34         38            0          114             0         38             0        0            0          0             0
    35         35            0          105             0         35             0        0            0          0             0
    36         36            0          108             0         36             0        0            0          0             0
    37         37            0          111             0         37             0        0            0          0             0
    38         33            0           99             0         33             0        0            0          0             0
    39         31            0           93             0         31             0        0            0          0             0
    40         31            0           93             0         31             0        0            0          0             0
    41         35            0          105             0         35             0        0            0          0             0
    42         33            0           99             0         33             0        0            0          0             0
    43         36            0          108             0         36             0        0            0          0             0
    44         35            0          105             0         35             0        0            0          0             0
    45         43            0          129             0         43             0        0            0          0             0
    46         39            0          117             0         39             0        0            0          0             0
    47         39            0          117             0         39             0        0            0          0             0
    48         35            0          105             0         35             0        0            0          0             0
    49         37            0          111             0         37             0        0            0          0             0
