# Average wrapping statistics vs. solvent cutoff
#Cutoff(Å)  Avg_Total_Res  Avg_Wrapped_Res  Avg_Total_Atoms  Avg_Wrapped_Atoms  Avg_Water_Res  Avg_Wrapped_Water  Avg_Ion_Res  Avg_Wrapped_Ions  Avg_Other_Res  Avg_Wrapped_Other
     1.0         1320.0              0.0          19460.0                0.0            0.0                0.0          0.0              0.0            0.0                0.0
     3.0         1320.0              0.0          19460.0                0.0            0.0                0.0          0.0              0.0            0.0                0.0
     5.0          634.1              0.0           9342.4                0.0            0.5                0.0          0.0              0.0            0.0                0.0
     7.0          213.1              0.0           3119.2                0.0            1.9                0.0          0.0              0.0            0.0                0.0
     9.0           13.8              0.0             41.5                0.0           13.8                0.0          0.0              0.0            0.0                0.0
    11.0           37.1              0.0            111.1                0.0           37.0                0.0          0.1              0.0            0.0                0.0
    13.0           74.3              0.0            222.3                0.0           74.0                0.0          0.3              0.0            0.0                0.0
    15.0          129.1              0.0            383.9                0.0          127.4                0.0          1.8              0.0            0.0                0.0
    17.0          197.5              0.0            588.3                0.0          195.4                0.0          2.1              0.0            0.0                0.0
    19.0          285.7              0.0            852.4                0.0          283.3                0.0          2.4              0.0            0.0                0.0
    21.0          414.7              0.0           1239.0                0.0          412.1                0.0          2.6              0.0            0.0                0.0
    23.0          606.0              0.0           1812.2                0.0          603.1                0.0          2.9              0.0            0.0                0.0
    25.0          857.2              0.0           2565.7                0.0          854.2                0.0          3.0              0.0            0.0                0.0
    27.0         1187.8              0.0           3557.2                0.0         1184.7                0.0          3.1              0.0            0.0                0.0
    29.0         1629.8              0.0           4880.5                0.0         1625.4                0.0          4.4              0.0            0.0                0.0
