# Average electric field magnitude vs. solvent cutoff
#Cutoff(Å)  AvgMagnitude(MV/cm)  StdDev(MV/cm)
     1.0           36.830600      3.507709
     3.0           36.830600      3.507709
     5.0           36.830600      3.507709
     7.0           34.699789      3.812008
     9.0           30.776299      4.028297
    11.0           27.898824      3.334184
    13.0           29.489642      3.251011
    15.0           30.943263      3.200920
    17.0           31.062064      3.237420
    19.0           30.391723      3.489860
    21.0           30.129016      3.453392
    23.0           29.742840      3.329084
    25.0           29.606230      3.255157
    27.0           29.622827      3.246019
    29.0           30.414040      3.307353
